# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sun Aug  2 21:14:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.70000 0.8917558193 2.4470562370    0.891 -0.343  3.7299  4.602    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.396e-04 6.717e-03 -1.000 1.527e-02 5.627 7.127 6.596 5.782 5.282 4.898 4.380 3.966 3.907
0.0152 0.01508 7.70000 0.9000000358 2.4492786175    0.899 -0.328  3.7321  4.600    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.396e-04 6.717e-03 -1.000 1.526e-02 5.590 7.054 6.542 5.737 5.243 4.863 4.352 3.943 3.885
0.0152 0.01508 7.70000 0.9290899038 2.4567592583    0.929 -0.278  3.7390  4.591    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.525e-02 5.464 6.813 6.364 5.586 5.113 4.744 4.255 3.864 3.808
0.0152 0.01508 7.70000 0.9500000477 2.4618122009    0.950 -0.233  3.7449  4.581    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.527e-02 5.353 6.597 6.211 5.458 5.002 4.643 4.170 3.793 3.741
0.0152 0.01508 7.70000 1.0000000000 2.4729154477    1.000 -0.132  3.7578  4.553    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-14      0.00 7.094e-01 2.754e-01 2.708e-03 7.394e-04 6.716e-03 -1.000 1.527e-02 5.099 6.130 5.870 5.170 4.750 4.411 3.974 3.626 3.580
0.0152 0.01508 7.70000 1.0499999523 2.4828114860    1.050 -0.034  3.7695  4.523    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.78e-14      0.00 7.094e-01 2.753e-01 2.707e-03 7.393e-04 6.715e-03 -1.000 1.526e-02 4.856 5.718 5.553 4.903 4.513 4.193 3.787 3.464 3.424
0.0152 0.01508 7.70000 1.0736166239 2.4871188374    1.073  0.013  3.7747  4.507    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-14      0.00 7.095e-01 2.753e-01 2.707e-03 7.392e-04 6.714e-03 -1.000 1.526e-02 4.738 5.530 5.403 4.776 4.400 4.088 3.696 3.384 3.346
0.0152 0.01508 7.70000 1.1000000238 2.4916801480    1.099  0.064  3.7805  4.489    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.78e-14      0.00 7.095e-01 2.752e-01 2.707e-03 7.391e-04 6.713e-03 -1.000 1.527e-02 4.609 5.328 5.240 4.639 4.276 3.974 3.596 3.297 3.262
0.0152 0.01508 7.70000 1.1499999762 2.4996678137    1.149  0.162  3.7918  4.455    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.91e-14      0.00 7.097e-01 2.751e-01 2.705e-03 7.388e-04 6.710e-03 -1.000 1.520e-02 4.365 4.965 4.934 4.381 4.045 3.760 3.410 3.132 3.102
0.0152 0.01508 7.70000 1.1772143841 2.5036889524    1.177  0.217  3.7982  4.436    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.59e-14      0.00 7.097e-01 2.751e-01 2.705e-03 7.387e-04 6.709e-03 -1.000 1.523e-02 4.227 4.766 4.762 4.237 3.915 3.640 3.305 3.041 3.013
